Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Администратор,Linux - Chrome 97.0.4692.71,,,2022-03-03 12:35:24,2022-03-03 13:03:56,"28m - 31,622s",FAILED
,,,,,,,
Test Cases/Администратор/Школы,Linux - Chrome 97.0.4692.71,смоук тест вкладки школы ,,2022-03-03 12:35:26,2022-03-03 12:38:14,"2m - 48,210s",PASSED
"callTestCase(findTestCase(""Администратор/Авторизация""), [:], STOP_ON_FAILURE)",Linux - Chrome 97.0.4692.71,авторизация,,2022-03-03 12:35:30,2022-03-03 12:36:57,"1m - 26,759s",PASSED
"click(findTestObject(""Object Repository/admin/school/schools/schools""))",Linux - Chrome 97.0.4692.71,переход на вкладу школы,,2022-03-03 12:36:57,2022-03-03 12:37:17,"20,397s",PASSED
"takeFullPageScreenshot(""C:\scr\"" + school + ""43.jpg"")",Linux - Chrome 97.0.4692.71,,,2022-03-03 12:37:17,2022-03-03 12:37:24,"6,639s",PASSED
"click(findTestObject(""Object Repository/admin/school/Page_/div_""))",Linux - Chrome 97.0.4692.71,"выбор Академия ""Авангард"" и переход к расписанию школы
",,2022-03-03 12:37:24,2022-03-03 12:37:26,"2,256s",PASSED
"scrollToElement(findTestObject(""Object Repository/admin/school/Page_/players""), 0)",Linux - Chrome 97.0.4692.71,переход на вкладку игроков,,2022-03-03 12:37:26,2022-03-03 12:37:32,"5,666s",PASSED
"click(findTestObject(""Object Repository/admin/school/Page_/players""))",Linux - Chrome 97.0.4692.71,переход на вкладку игроков,,2022-03-03 12:37:32,2022-03-03 12:37:34,"2,420s",PASSED
"takeFullPageScreenshot(""C:\scr\"" + school + ""44.jpg"")",Linux - Chrome 97.0.4692.71,,,2022-03-03 12:37:34,2022-03-03 12:37:39,"5,049s",PASSED
"click(findTestObject(""Object Repository/admin/school/Page_/team""))",Linux - Chrome 97.0.4692.71,переход на вкладку команд,,2022-03-03 12:37:39,2022-03-03 12:37:41,"2,347s",PASSED
"takeFullPageScreenshot(""C:\scr\"" + school + ""45.jpg"")",Linux - Chrome 97.0.4692.71,,,2022-03-03 12:37:41,2022-03-03 12:37:47,"5,058s",PASSED
"click(findTestObject(""Object Repository/admin/school/Page_/omsk""))",Linux - Chrome 97.0.4692.71,"выбр команды ОМСКИЕ ЯСТРЕБЫ 
",,2022-03-03 12:37:47,2022-03-03 12:37:49,"2,069s",PASSED
"click(findTestObject(""Object Repository/admin/school/Page_/edit""))",Linux - Chrome 97.0.4692.71,переход на вкладку редактирование ,,2022-03-03 12:37:49,2022-03-03 12:37:52,"3,232s",PASSED
"takeFullPageScreenshot(""C:\scr\"" + school + ""47.jpg"")",Linux - Chrome 97.0.4692.71,,,2022-03-03 12:37:52,2022-03-03 12:37:57,"5,340s",PASSED
"click(findTestObject(""Object Repository/admin/school/Page_/allplayer""))",Linux - Chrome 97.0.4692.71,"переход на вкладку все игроки
",,2022-03-03 12:37:57,2022-03-03 12:37:59,"1,913s",PASSED
"takeFullPageScreenshot(""C:\scr\"" + school + ""48.jpg"")",Linux - Chrome 97.0.4692.71,,,2022-03-03 12:37:59,2022-03-03 12:38:04,"5,271s",PASSED
"click(findTestObject(""Object Repository/admin/school/Page_/groups""))",Linux - Chrome 97.0.4692.71,"переход на вкладку занятие команды
",,2022-03-03 12:38:04,2022-03-03 12:38:06,"2,119s",PASSED
"click(findTestObject(""manager/schools/overlay""), CONTINUE_ON_FAILURE)",Linux - Chrome 97.0.4692.71,,,2022-03-03 12:38:06,2022-03-03 12:38:12,"5,093s",PASSED
"click(findTestObject(""Object Repository/admin/school/Page_/root""))",Linux - Chrome 97.0.4692.71,"переход на главную 
",,2022-03-03 12:38:12,2022-03-03 12:38:14,"2,012s",PASSED
