Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Доктор,Linux - Chrome 97.0.4692.71,,,2022-04-04 12:40:09,2022-04-04 13:23:35,"43m - 26,674s",FAILED
,,,,,,,
Test Cases/Доктор/дописать проверку на игрока Проверка вкладки Питание,Linux - Chrome 97.0.4692.71,,,2022-04-04 12:40:10,2022-04-04 12:51:59,"11m - 48,369s",FAILED
"callTestCase(findTestCase(""Доктор/Авторизация врач""), [:], STOP_ON_FAILURE)",Linux - Chrome 97.0.4692.71,,,2022-04-04 12:40:15,2022-04-04 12:44:02,"3m - 47,766s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Доктор)/Case (Питание)/span_pitanie""))",Linux - Chrome 97.0.4692.71,Вкладка Питание,,2022-04-04 12:44:02,2022-04-04 12:44:14,"11,960s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Доктор)/Case (Питание)/place_choose school""))",Linux - Chrome 97.0.4692.71,Поле введите школу,,2022-04-04 12:44:14,2022-04-04 12:44:17,"2,638s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Доктор)/Case (Питание)/div_Avangard""))",Linux - Chrome 97.0.4692.71,Выбор Авангард,,2022-04-04 12:44:17,2022-04-04 12:44:19,"2,071s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Доктор)/Case (Питание)/place choose team""))",Linux - Chrome 97.0.4692.71,Поле ввода команды,,2022-04-04 12:44:19,2022-04-04 12:44:21,"1,923s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Доктор)/Case (Питание)/div_omsk""))",Linux - Chrome 97.0.4692.71,Ввести Омские Ястребы,,2022-04-04 12:44:21,2022-04-04 12:44:23,"1,894s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Доктор)/Case (Питание)/button_edit""))",Linux - Chrome 97.0.4692.71,Нажать кнопку редактровать,,2022-04-04 12:44:23,2022-04-04 12:44:29,"5,919s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Доктор)/Case (Питание)/span_add""))",Linux - Chrome 97.0.4692.71,Добавить рацион Ганину,,2022-04-04 12:44:29,2022-04-04 12:45:03,"34,740s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Доктор)/Case (Питание)/div_place recomendation1""))",Linux - Chrome 97.0.4692.71,,,2022-04-04 12:45:03,2022-04-04 12:45:07,"3,420s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Доктор)/Case (Питание)/div__uglevodi1""))",Linux - Chrome 97.0.4692.71,Выбрать углеводы,,2022-04-04 12:45:07,2022-04-04 12:45:09,"2,222s",PASSED
"setText(findTestObject(""Avangard New/Object (Доктор)/Case (Питание)/body_opisaniee""), ""автотест питания1"")",Linux - Chrome 97.0.4692.71,,,2022-04-04 12:45:09,2022-04-04 12:45:17,"7,664s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Доктор)/Case (Питание)/button_task""))",Linux - Chrome 97.0.4692.71,Кнопка добавить задачу,,2022-04-04 12:45:17,2022-04-04 12:45:19,"2,118s",PASSED
"setText(findTestObject(""Object Repository/Avangard New/Object (Доктор)/Case (Питание)/input_task""), ""автотест питания"")",Linux - Chrome 97.0.4692.71,Ввод текста,,2022-04-04 12:45:19,2022-04-04 12:45:25,"5,895s",PASSED
"scrollToElement(findTestObject(""Object Repository/Avangard New/Object (Доктор)/Case (Питание)/button_save""), 0)",Linux - Chrome 97.0.4692.71,,,2022-04-04 12:45:25,2022-04-04 12:45:27,"2,171s",PASSED
