Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Менеждер,Linux - Chrome 97.0.4692.71,,,2022-04-05 10:19:43,2022-04-05 11:35:33,"1h - 15m - 49,960s",FAILED
,,,,,,,
Test Cases/Администратор/будет переделываться Школы,Linux - Chrome 97.0.4692.71,смоук тест вкладки школы ,,2022-04-05 10:40:28,2022-04-05 10:46:12,"5m - 43,756s",FAILED
"callTestCase(findTestCase(""Администратор/Авторизация""), [:], STOP_ON_FAILURE)",Linux - Chrome 97.0.4692.71,авторизация,,2022-04-05 10:40:28,2022-04-05 10:43:28,"3m - 0,132s",PASSED
"click(findTestObject(""Object Repository/admin/school/schools/schools""))",Linux - Chrome 97.0.4692.71,переход на вкладу школы,,2022-04-05 10:43:28,2022-04-05 10:44:01,"32,932s",PASSED
"takeFullPageScreenshot(""C:\scr\"" + school + ""43.jpg"")",Linux - Chrome 97.0.4692.71,,,2022-04-05 10:44:01,2022-04-05 10:44:15,"13,768s",PASSED
"click(findTestObject(""Object Repository/admin/school/Page_/div_""))",Linux - Chrome 97.0.4692.71,"выбор Академия ""Авангард"" и переход к расписанию школы
",,2022-04-05 10:44:15,2022-04-05 10:44:18,"3,614s",PASSED
"scrollToElement(findTestObject(""Object Repository/admin/school/Page_/players""), 0)",Linux - Chrome 97.0.4692.71,переход на вкладку игроков,,2022-04-05 10:44:18,2022-04-05 10:44:25,"6,678s",PASSED
"click(findTestObject(""Object Repository/admin/school/Page_/players""))",Linux - Chrome 97.0.4692.71,переход на вкладку игроков,,2022-04-05 10:44:25,2022-04-05 10:44:28,"2,784s",PASSED
"takeFullPageScreenshot(""C:\scr\"" + school + ""44.jpg"")",Linux - Chrome 97.0.4692.71,,,2022-04-05 10:44:28,2022-04-05 10:44:50,"22,538s",PASSED
"click(findTestObject(""Object Repository/admin/school/Page_/team""))",Linux - Chrome 97.0.4692.71,переход на вкладку команд,,2022-04-05 10:44:50,2022-04-05 10:45:24,"33,725s",PASSED
"takeFullPageScreenshot(""C:\scr\"" + school + ""45.jpg"")",Linux - Chrome 97.0.4692.71,,,2022-04-05 10:45:24,2022-04-05 10:45:33,"9,241s",PASSED
"click(findTestObject(""Object Repository/admin/school/Page_/omsk""))",Linux - Chrome 97.0.4692.71,"выбр команды ОМСКИЕ ЯСТРЕБЫ 
",,2022-04-05 10:45:33,2022-04-05 10:46:10,"36,231s",FAILED
,,,,,,,
Test Cases/Администратор/Рейтинг,Linux - Chrome 97.0.4692.71,смоук тест,,2022-04-05 10:46:12,2022-04-05 10:50:54,"4m - 41,842s",PASSED
"callTestCase(findTestCase(""Администратор/Авторизация""), [:], STOP_ON_FAILURE)",Linux - Chrome 97.0.4692.71,,,2022-04-05 10:46:12,2022-04-05 10:49:26,"3m - 14,034s",PASSED
"click(findTestObject(""Object Repository/admin/rating/grating""))",Linux - Chrome 97.0.4692.71,переход на вкладку рейтинг игроков,,2022-04-05 10:49:26,2022-04-05 10:49:38,"12,313s",PASSED
"takeFullPageScreenshot(""C:\scr\"" + school + ""34.jpg"")",Linux - Chrome 97.0.4692.71,,,2022-04-05 10:49:38,2022-04-05 10:49:45,"6,335s",PASSED
"click(findTestObject(""Object Repository/admin/Page_/shkool""))",Linux - Chrome 97.0.4692.71,выбор школы,,2022-04-05 10:49:45,2022-04-05 10:49:47,"2,289s",PASSED
"click(findTestObject(""Object Repository/admin/Page_/div_ (2)""))",Linux - Chrome 97.0.4692.71,,,2022-04-05 10:49:47,2022-04-05 10:49:50,"2,518s",PASSED
"click(findTestObject(""Object Repository/admin/Page_/team""))",Linux - Chrome 97.0.4692.71,выбор команды,,2022-04-05 10:49:50,2022-04-05 10:49:52,"2,197s",PASSED
"click(findTestObject(""Object Repository/admin/Page_/omsk""))",Linux - Chrome 97.0.4692.71,,,2022-04-05 10:49:52,2022-04-05 10:49:54,"2,077s",PASSED
"scrollToElement(findTestObject(""Object Repository/admin/Page_/top1""), 0)",Linux - Chrome 97.0.4692.71,выбор игрока (Давыдов Тимофей) ,,2022-04-05 10:49:54,2022-04-05 10:50:04,"9,659s",PASSED
"click(findTestObject(""Object Repository/admin/Page_/top1""))",Linux - Chrome 97.0.4692.71,выбор игрока (Давыдов Тимофей) ,,2022-04-05 10:50:04,2022-04-05 10:50:06,"2,245s",PASSED
"takeFullPageScreenshot(""C:\scr\"" + school + ""37.jpg"", CONTINUE_ON_FAILURE)",Linux - Chrome 97.0.4692.71,,,2022-04-05 10:50:06,2022-04-05 10:50:12,"5,909s",PASSED
"click(findTestObject(""Object Repository/admin/Page_/skill""))",Linux - Chrome 97.0.4692.71,просмотр владки оценка навыков,,2022-04-05 10:50:12,2022-04-05 10:50:14,"2,372s",PASSED
"verifyTextPresent(""Ускорение"", true)",Linux - Chrome 97.0.4692.71,,,2022-04-05 10:50:14,2022-04-05 10:50:18,"4,126s",PASSED
"verifyTextPresent(""Скорость"", true)",Linux - Chrome 97.0.4692.71,,,2022-04-05 10:50:18,2022-04-05 10:50:20,"2,223s",PASSED
"takeFullPageScreenshot(""C:\scr\"" + school + ""39.jpg"", CONTINUE_ON_FAILURE)",Linux - Chrome 97.0.4692.71,,,2022-04-05 10:50:20,2022-04-05 10:50:26,"6,079s",PASSED
"click(findTestObject(""Object Repository/admin/Page_/stat""))",Linux - Chrome 97.0.4692.71,просмотр владки игровой статистики,,2022-04-05 10:50:26,2022-04-05 10:50:28,"1,935s",PASSED
"verifyTextPresent(""Матчи"", true, CONTINUE_ON_FAILURE)",Linux - Chrome 97.0.4692.71,,,2022-04-05 10:50:28,2022-04-05 10:50:31,"3,038s",PASSED
"verifyTextPresent(""Ранг"", true, CONTINUE_ON_FAILURE)",Linux - Chrome 97.0.4692.71,,,2022-04-05 10:50:31,2022-04-05 10:50:33,"2,004s",PASSED
"takeFullPageScreenshot(""C:\scr\"" + school + ""40.jpg"", CONTINUE_ON_FAILURE)",Linux - Chrome 97.0.4692.71,,,2022-04-05 10:50:33,2022-04-05 10:50:39,"5,621s",PASSED
"click(findTestObject(""Object Repository/admin/Page_/ptest""))",Linux - Chrome 97.0.4692.71,просмотр владки физ тестирования ,,2022-04-05 10:50:39,2022-04-05 10:50:41,"2,062s",PASSED
"verifyTextPresent(""СРЕДНЯЯ ОЦЕНКА"", true)",Linux - Chrome 97.0.4692.71,,,2022-04-05 10:50:41,2022-04-05 10:50:43,"2,280s",PASSED
"verifyTextPresent(""Список навыков и характеристики"", true)",Linux - Chrome 97.0.4692.71,,,2022-04-05 10:50:43,2022-04-05 10:50:45,"1,842s",PASSED
"takeFullPageScreenshot(""C:\scr\"" + school + ""38.jpg"", CONTINUE_ON_FAILURE)",Linux - Chrome 97.0.4692.71,,,2022-04-05 10:50:45,2022-04-05 10:50:51,"5,477s",PASSED
"click(findTestObject(""Object Repository/admin/Page_/root""))",Linux - Chrome 97.0.4692.71,переход в главное меню,,2022-04-05 10:50:51,2022-04-05 10:50:53,"2,317s",PASSED
closeBrowser(),Linux - Chrome 97.0.4692.71,конец теста,,2022-04-05 10:50:53,2022-04-05 10:50:54,"0,552s",PASSED
,,,,,,,
Test Cases/Администратор/ОТЧЕТЫ функциональные тесты/Список участников без оценки,Linux - Chrome 97.0.4692.71,функцуиональное тестирование,,2022-04-05 10:50:54,2022-04-05 10:54:26,"3m - 32,823s",PASSED
"callTestCase(findTestCase(""Администратор/Отчет для тк""), [:], STOP_ON_FAILURE)",Linux - Chrome 97.0.4692.71,,,2022-04-05 10:50:54,2022-04-05 10:53:42,"2m - 47,778s",PASSED
"click(findTestObject(""Object Repository/admin/reports/not/Page_/not""))",Linux - Chrome 97.0.4692.71,,,2022-04-05 10:53:42,2022-04-05 10:53:44,"2,006s",PASSED
