Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Доктор,Linux - Chrome 97.0.4692.71,,,2022-04-04 12:40:08,2022-04-04 13:20:37,"40m - 29,242s",FAILED
,,,,,,,
Test Cases/Доктор/дописать проверку на игрока Проверка вкладки Питание,Linux - Chrome 97.0.4692.71,,,2022-04-04 12:40:09,2022-04-04 12:51:40,"11m - 30,912s",FAILED
"callTestCase(findTestCase(""Доктор/Авторизация врач""), [:], STOP_ON_FAILURE)",Linux - Chrome 97.0.4692.71,,,2022-04-04 12:40:13,2022-04-04 12:44:02,"3m - 48,603s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Доктор)/Case (Питание)/span_pitanie""))",Linux - Chrome 97.0.4692.71,Вкладка Питание,,2022-04-04 12:44:02,2022-04-04 12:44:14,"12,228s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Доктор)/Case (Питание)/place_choose school""))",Linux - Chrome 97.0.4692.71,Поле введите школу,,2022-04-04 12:44:14,2022-04-04 12:44:17,"3,251s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Доктор)/Case (Питание)/div_Avangard""))",Linux - Chrome 97.0.4692.71,Выбор Авангард,,2022-04-04 12:44:17,2022-04-04 12:44:19,"2,007s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Доктор)/Case (Питание)/place choose team""))",Linux - Chrome 97.0.4692.71,Поле ввода команды,,2022-04-04 12:44:19,2022-04-04 12:44:21,"1,973s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Доктор)/Case (Питание)/div_omsk""))",Linux - Chrome 97.0.4692.71,Ввести Омские Ястребы,,2022-04-04 12:44:21,2022-04-04 12:44:23,"2,021s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Доктор)/Case (Питание)/button_edit""))",Linux - Chrome 97.0.4692.71,Нажать кнопку редактровать,,2022-04-04 12:44:23,2022-04-04 12:44:30,"6,405s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Доктор)/Case (Питание)/span_add""))",Linux - Chrome 97.0.4692.71,Добавить рацион Ганину,,2022-04-04 12:44:30,2022-04-04 12:45:03,"33,756s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Доктор)/Case (Питание)/div_place recomendation1""))",Linux - Chrome 97.0.4692.71,,,2022-04-04 12:45:03,2022-04-04 12:45:07,"3,549s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Доктор)/Case (Питание)/div__uglevodi1""))",Linux - Chrome 97.0.4692.71,Выбрать углеводы,,2022-04-04 12:45:07,2022-04-04 12:45:09,"2,165s",PASSED
"setText(findTestObject(""Avangard New/Object (Доктор)/Case (Питание)/body_opisaniee""), ""автотест питания1"")",Linux - Chrome 97.0.4692.71,,,2022-04-04 12:45:09,2022-04-04 12:45:17,"7,875s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Доктор)/Case (Питание)/button_task""))",Linux - Chrome 97.0.4692.71,Кнопка добавить задачу,,2022-04-04 12:45:17,2022-04-04 12:45:19,"2,114s",PASSED
"setText(findTestObject(""Object Repository/Avangard New/Object (Доктор)/Case (Питание)/input_task""), ""автотест питания"")",Linux - Chrome 97.0.4692.71,Ввод текста,,2022-04-04 12:45:19,2022-04-04 12:45:25,"6,406s",PASSED
"scrollToElement(findTestObject(""Object Repository/Avangard New/Object (Доктор)/Case (Питание)/button_save""), 0)",Linux - Chrome 97.0.4692.71,,,2022-04-04 12:45:25,2022-04-04 12:45:27,"1,952s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Доктор)/Case (Питание)/button_save""))",Linux - Chrome 97.0.4692.71,Сохраняет рацион,,2022-04-04 12:45:27,2022-04-04 12:45:30,"2,125s",PASSED
"verifyElementText(findTestObject(""Object Repository/Avangard New/Object (Доктор)/Case (Питание)/alert verif""), ""Рекомендация успешно добавлена"")",Linux - Chrome 97.0.4692.71,Проверка сохранения,,2022-04-04 12:45:30,2022-04-04 12:45:34,"4,704s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Доктор)/Case (Питание)/span_home""))",Linux - Chrome 97.0.4692.71,Переход на главную,,2022-04-04 12:45:34,2022-04-04 12:45:37,"2,299s",PASSED
"callTestCase(findTestCase(""Игрок/Авторизация""), [:], STOP_ON_FAILURE)",Linux - Chrome 97.0.4692.71,Проверки за игрока,,2022-04-04 12:45:37,2022-04-04 12:45:37,"0,001s",NOT_RUN
"comment("""")",Linux - Chrome 97.0.4692.71,КОГДА БУДЕТ ГОТОВ БЛОК РЕКОМЕНДАЦИЙ НА ДАШБОРДЕ НАДО ДОПИСАТЬ ТЕСТ ПРОВЕРКУ ,,2022-04-04 12:45:37,2022-04-04 12:45:37,"0,001s",NOT_RUN
"callTestCase(findTestCase(""Тренер/будет переделываться Рекомендации (переиспользуется в проверке Питания у доктора)""), [:], STOP_ON_FAILURE)",Linux - Chrome 97.0.4692.71,,,2022-04-04 12:45:37,2022-04-04 12:51:38,"6m - 1,287s",FAILED
,,,,,,,
Test Cases/Доктор/Просмотр профиля,Linux - Chrome 97.0.4692.71,,,2022-04-04 12:51:40,2022-04-04 12:57:21,"5m - 41,377s",PASSED
